City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,selfoss,63.9331,-20.9971,283.73,94,100,1.28,IS,1691299302
152,mount gambier,-37.8333,140.7667,286.31,59,100,2.02,AU,1691299121
153,nova olimpia,-14.7972,-57.2881,296.74,41,0,1.36,BR,1691299302
154,aykhal,66.0,111.5,291.73,38,11,7.76,RU,1691299302
155,macapa,0.0389,-51.0664,301.14,94,40,4.12,BR,1691299149
156,rocky mountain house,52.3668,-114.9188,287.21,88,7,1.54,CA,1691299303
157,puerto cabezas,14.0351,-83.3888,299.47,89,17,3.65,NI,1691299293
158,callao,-12.0667,-77.15,293.31,73,100,4.63,PE,1691299005
159,carnarvon,-24.8667,113.6333,297.97,54,2,2.35,AU,1691299303
160,cabo san lucas,22.8909,-109.9124,302.38,72,99,6.08,MX,1691299086
161,tobruk,32.0836,23.9764,300.0,77,0,4.08,LY,1691299304
162,watertown,42.3709,-71.1828,293.65,76,100,3.13,US,1691299289
163,polyarnyy,69.1989,33.4478,284.04,94,100,4.94,RU,1691299304
164,ad dawadimi,24.5077,44.3924,304.79,11,0,0.52,SA,1691299304
165,ribeira grande,38.5167,-28.7,295.8,76,100,0.89,PT,1691299304
166,hayma',38.5167,-28.7,295.8,76,100,0.89,PT,1691299304
167,kulia village,38.5167,-28.7,295.8,76,100,0.89,PT,1691299304
168,port lincoln,-34.7333,135.8667,285.87,62,70,3.68,AU,1691299305
169,gadzhiyevo,69.2551,33.3362,283.92,94,100,4.84,RU,1691299305
170,colonia,50.9333,6.95,289.03,90,100,2.57,DE,1691299305
171,al muwayh,22.4333,41.7583,304.58,15,5,5.78,SA,1691299306
172,tsiombe,-25.3,45.4833,292.43,64,0,5.54,MG,1691299306
173,uturoa,-16.7333,-151.4333,299.1,69,1,3.78,PF,1691299306
174,geraldton,-28.7667,114.6,297.38,60,75,0.0,AU,1691299306
175,nicoya,10.1483,-85.452,297.97,84,27,2.0,CR,1691299306
176,kataragama,10.1483,-85.452,297.97,84,27,2.0,CR,1691299306
177,santa ana,33.7456,-117.8678,298.85,84,20,3.09,US,1691299307
178,longyearbyen,78.2186,15.6401,283.06,93,75,7.2,SJ,1691299307
179,tolanaro,-25.0319,46.9987,293.19,77,40,7.2,MG,1691299307
180,flin flon,54.7682,-101.865,289.17,68,53,2.9,CA,1691299307
181,arraial do cabo,-22.9661,-42.0278,293.62,92,1,6.24,BR,1691299308
182,nova sintra,14.8667,-24.7167,296.3,78,36,2.04,CV,1691299308
183,nar'yan-mar,67.6713,53.087,294.32,67,84,4.33,RU,1691299308
184,zvenigovo,55.9742,48.0181,296.68,59,6,3.3,RU,1691299308
185,acarau,-2.8856,-40.12,298.41,87,72,7.42,BR,1691299308
186,kurumul,-2.8856,-40.12,298.41,87,72,7.42,BR,1691299308
187,dalandzadgad,43.5708,104.425,304.78,11,8,8.8,MN,1691299309
188,korla,41.7597,86.1469,307.93,16,72,7.55,CN,1691299309
189,rio grande,-32.035,-52.0986,288.68,97,11,5.55,BR,1691299309
190,ararat,39.8317,44.7049,301.34,42,4,0.95,AM,1691299310
191,nkurenkuru,39.8317,44.7049,301.34,42,4,0.95,AM,1691299310
192,bida,9.0833,6.0167,295.74,98,94,2.11,NG,1691299310
193,fedorovka,53.6314,62.7078,297.91,58,81,3.68,KZ,1691299311
194,cambria,35.5641,-121.0808,300.17,60,7,3.3,US,1691299311
195,fuvahmulah,35.5641,-121.0808,300.17,60,7,3.3,US,1691299311
196,renqiu,38.6989,116.0936,302.57,61,26,1.38,CN,1691299312
197,lebu,-37.6167,-73.65,282.87,91,94,2.72,CL,1691299065
198,kailua-kona,19.6406,-155.9956,301.13,76,75,2.57,US,1691299312
199,reggane,26.7158,0.1714,308.89,17,0,6.67,DZ,1691299312
200,copala,16.65,-98.9833,299.59,83,100,1.69,MX,1691299313
201,allapalli,19.4167,80.0667,302.78,70,57,4.55,IN,1691299313
202,antonio enes,-16.2325,39.9086,296.41,77,46,4.8,MZ,1691299313
203,berdigestyakh,62.0989,126.6992,301.38,28,88,0.37,RU,1691299313
204,cidreira,-30.1811,-50.2056,290.61,95,34,6.92,BR,1691299313
205,jamestown,42.097,-79.2353,289.95,96,0,2.57,US,1691299250
206,pampierstad,-27.7832,24.6877,279.11,41,1,4.19,ZA,1691299314
207,happy valley-goose bay,53.3168,-60.3315,289.32,77,100,0.0,CA,1691299314
208,vila franca do campo,37.7167,-25.4333,294.38,81,74,2.04,PT,1691299314
209,trapani,37.8333,12.6667,296.2,78,20,6.17,IT,1691299043
210,saldanha,-33.0117,17.9442,280.18,89,67,1.74,ZA,1691299315
211,cariati,39.4922,16.9594,295.78,59,0,1.61,IT,1691299315
212,guangyuan,32.442,105.823,305.86,61,69,1.41,CN,1691299315
213,tabriz,38.08,46.2919,298.85,29,0,5.14,IR,1691299315
214,saipan,15.1355,145.701,304.54,100,0,4.12,MP,1691299315
215,ko samui,9.5357,99.9357,306.1,55,20,5.14,TH,1691299316
216,mount isa,-20.7333,139.5,300.02,24,0,4.63,AU,1691299316
